Media Type,Post Date,Political Party
GraphVideo,2024-01-31 14:14:50,CH
GraphImage,2024-01-31 12:40:15,CH
GraphVideo,2024-01-31 11:16:32,CH
GraphVideo,2024-01-30 20:55:35,CH
GraphImage,2024-01-30 17:28:03,CH
GraphVideo,2024-01-30 11:08:46,CH
GraphVideo,2024-01-29 23:26:01,CH
GraphImage,2024-01-29 18:02:26,CH
GraphVideo,2024-01-29 15:14:37,CH
GraphVideo,2024-01-29 10:04:10,CH
GraphVideo,2024-01-28 22:07:28,CH
GraphImage,2024-01-28 13:24:00,CH
GraphImage,2024-01-27 21:50:57,CH
GraphImage,2024-01-27 16:21:45,CH
GraphImage,2024-01-26 14:14:59,CH
GraphVideo,2024-01-26 12:17:54,CH
GraphImage,2024-01-26 11:00:53,CH
GraphImage,2024-01-26 00:06:11,CH
GraphVideo,2024-01-25 20:50:55,CH
GraphImage,2024-01-25 19:53:37,CH
GraphImage,2024-01-25 18:49:12,CH
GraphVideo,2024-01-24 22:21:30,CH
GraphVideo,2024-01-24 20:24:38,CH
GraphImage,2024-01-23 20:40:17,CH
GraphVideo,2024-01-23 19:39:07,CH
GraphVideo,2024-01-23 15:08:53,CH
GraphImage,2024-01-23 11:28:10,CH
GraphVideo,2024-01-22 22:30:55,CH
GraphVideo,2024-01-22 22:09:14,CH
GraphVideo,2024-01-22 20:11:57,CH
GraphImage,2024-01-22 18:07:36,CH
GraphVideo,2024-01-22 16:39:46,CH
GraphImage,2024-01-22 00:08:17,CH
GraphVideo,2024-01-21 13:43:24,CH
GraphVideo,2024-01-21 12:09:41,CH
GraphImage,2024-01-20 22:14:16,CH
GraphVideo,2024-01-20 18:13:44,CH
GraphVideo,2024-01-20 17:24:46,CH
GraphVideo,2024-01-20 16:12:59,CH
GraphVideo,2024-01-19 19:00:00,CH
GraphImage,2024-01-19 17:41:14,CH
GraphVideo,2024-01-19 16:33:48,CH
GraphImage,2024-01-19 16:21:47,CH
GraphImage,2024-01-19 15:11:51,CH
GraphImage,2024-01-19 13:28:29,CH
GraphImage,2024-01-19 12:27:25,CH
GraphImage,2024-01-19 00:00:48,CH
GraphVideo,2024-01-18 22:36:07,CH
GraphImage,2024-01-18 22:03:20,CH
GraphImage,2024-01-18 16:12:44,CH
GraphImage,2024-01-18 15:03:08,CH
GraphVideo,2024-01-18 10:53:40,CH
GraphVideo,2024-01-17 22:44:35,CH
GraphImage,2024-01-17 20:19:32,CH
GraphVideo,2024-01-17 20:09:28,CH
GraphImage,2024-01-17 19:05:22,CH
GraphImage,2024-01-17 17:14:04,CH
GraphImage,2024-01-17 14:29:00,CH
GraphImage,2024-01-17 12:28:45,CH
GraphImage,2024-01-16 21:49:52,CH
GraphVideo,2024-01-16 18:39:52,CH
