Media Type,Post Date,Political Party
GraphVideo,2024-02-10 22:15:25,PS
GraphVideo,2024-02-10 16:40:12,PS
GraphImage,2024-02-10 15:40:39,PS
GraphImage,2024-02-10 13:40:03,PS
GraphImage,2024-02-09 22:48:07,PS
GraphVideo,2024-02-09 22:16:58,PS
GraphImage,2024-02-09 19:05:13,PS
GraphImage,2024-02-09 10:37:40,PS
GraphSidecar,2024-02-08 23:49:47,PS
GraphSidecar,2024-02-08 22:14:20,PS
GraphVideo,2024-02-08 18:13:41,PS
GraphImage,2024-02-08 16:59:59,PS
GraphImage,2024-02-08 10:14:20,PS
GraphSidecar,2024-02-07 23:26:11,PS
GraphVideo,2024-02-07 21:49:02,PS
GraphVideo,2024-02-07 17:51:45,PS
GraphImage,2024-02-07 13:52:55,PS
GraphImage,2024-02-07 09:53:37,PS
GraphSidecar,2024-02-06 21:10:13,PS
GraphVideo,2024-02-06 19:06:06,PS
GraphVideo,2024-02-06 00:18:43,PS
GraphSidecar,2024-02-05 22:40:06,PS
GraphVideo,2024-02-05 22:19:31,PS
GraphVideo,2024-02-05 15:43:43,PS
GraphImage,2024-02-05 12:18:01,PS
GraphVideo,2024-02-05 01:37:48,PS
GraphVideo,2024-02-04 15:38:13,PS
GraphSidecar,2024-02-03 00:15:41,PS
GraphSidecar,2024-02-03 00:06:17,PS
GraphSidecar,2024-02-02 16:36:34,PS
GraphVideo,2024-02-02 14:48:32,PS
GraphSidecar,2024-02-02 09:43:56,PS
GraphVideo,2024-02-02 00:30:42,PS
GraphImage,2024-02-01 13:31:08,PS
GraphImage,2024-02-01 09:47:43,PS
GraphVideo,2024-02-01 08:06:57,PS
GraphSidecar,2024-01-31 23:58:12,PS
GraphImage,2024-01-31 19:20:13,PS
GraphVideo,2024-01-31 16:05:26,PS
GraphSidecar,2024-01-31 13:58:56,PS
GraphVideo,2024-01-31 12:24:07,PS
GraphVideo,2024-01-30 21:36:45,PS
GraphSidecar,2024-01-30 17:58:31,PS
GraphImage,2024-01-30 15:22:24,PS
GraphImage,2024-01-30 11:46:13,PS
GraphSidecar,2024-01-29 19:05:23,PS
GraphVideo,2024-01-29 13:37:38,PS
GraphSidecar,2024-01-29 12:04:10,PS
GraphVideo,2024-01-28 22:32:25,PS
GraphSidecar,2024-01-28 20:43:52,PS
GraphVideo,2024-01-28 18:27:30,PS
GraphVideo,2024-01-28 12:20:56,PS
GraphSidecar,2024-01-28 09:01:09,PS
GraphVideo,2024-01-27 22:50:02,PS
GraphSidecar,2024-01-27 20:17:23,PS
GraphVideo,2024-01-27 18:21:35,PS
GraphImage,2024-01-26 20:16:46,PS
